	paper_id	title	abstract	body_text
0	4fcb95cc0c4ea6d1fa4137a4a087715ed6b68cea	End-tidal carbon dioxide levels during resuscitation and carbon dioxide levels in the immediate neonatal period and intraventricular haemorrhage	Abnormal levels of end-tidal carbon dioxide (EtCO 2 ) during resuscitation in the delivery suite are associated with intraventricular haemorrhage (IVH) development. Our aim was to determine whether carbon dioxide (CO 2 ) levels in the first 3 days after birth reflected abnormal EtCO 2 levels in the delivery suite, and hence, a prolonged rather than an early insult resulted in IVH. In addition, we determined if greater EtCO 2 level fluctuations during resuscitation occurred in infants who developed IVH. EtCO 2 levels during delivery suite resuscitation and CO 2 levels on the neonatal unit were evaluated in 58 infants (median gestational age 27.3 weeks). Delta EtCO 2 was the difference between the highest and lowest level of EtCO 2 . Thirteen infants developed a grade 3-4 IVH (severe group). There were no significant differences in CO 2 levels between those who did and did not develop an IVH (or severe IVH) on the NICU. The delta EtCO 2 during resuscitation differed between infants with any IVH (6.2 (5.4-7.5) kPa) or no IVH (3.8 (2.7-4.3) kPA) (p < 0.001) after adjusting for differences in gestational age. Delta EtCO 2 levels gave an area under the ROC curve of 0.940 for prediction of IVH.	Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/.|
1	86d4262de73cf81b5ea6aafb91630853248bff5f	Urban planning of the endoplasmic reticulum (ER): How diverse mechanisms segregate the many functions of the ER	The endoplasmic reticulum (ER) is the biggest organelle in most cell types, but its characterization as an organelle with a continuous membrane belies the fact that the ER is actually an assembly of several, distinct membrane domains that execute diverse functions. Almost 20 years ago, an essay by Sitia and Meldolesi first listed what was known at the time about domain formation within the ER. In the time that has passed since, additional ER domains have been discovered and characterized. These include the mitochondria-associated membrane (MAM), the ER quality control compartment (ERQC), where ER-associated degradation (ERAD) occurs, and the plasma membrane-associated membrane (PAM). Insight has been gained into the separation of nuclear envelope proteins from the remainder of the ER. Research has also shown that the biogenesis of peroxisomes and lipid droplets occurs on specialized membranes of the ER. Several studies have shown the existence of specific marker proteins found on all these domains and how they are targeted there. Moreover, a first set of cytosolic ER-associated sorting proteins, including phosphofurin acidic cluster sorting protein 2 (PACS-2) and Rab32 have been identified. Intra-ER targeting mechanisms appear to be superimposed onto ER retention mechanisms and rely on transmembrane and cytosolic sequences. The crucial roles of ER domain formation for cell physiology are highlighted with the specific targeting of the tumor metastasis regulator gp78 to ERAD-mediating membranes or of the promyelocytic leukemia protein to the MAM.	Research during the past 2 decades has revealed that the ER resembles a city with multiple functions assigned to designated areas more than a village that specializes into one function. B cell to plasma cell development is just one example that shows the dynamic nature of ER domain formation and targeting. Together, multiple findings highlight the importance of understanding intra-ER targeting for human disease. Given that this area of cell biology is in some ways the final frontier of intracellular sorting, great progress is expected to occur during the next decade with important insight into the biogenesis of the ER as a complex assembly of membrane domains and into the significance of this organelle for human life and death. An important question for future research will be to elucidate the connection of vesicular trafficking to ER domain formation, given the multiple involvements of COP coats, Rab proteins and Arf GTPases in this cell biological mechanism. |
2	b2f67d533f2749807f2537f3775b39da3b186051	Caring for persons in detention suffering with mental illness during the Covid-19 outbreak		Michael Liebrenz is the Editor in Chief of Forensic Science International: Mind and Law. No other competing interests exist.|
3	86a998617c077f4fe2ab26214995a3548fbc0fc5	Middle East Respiratory Syndrome and Severe Acute Respiratory Syndrome	The recent emergence of the Middle East respiratory syndrome (MERS)-CoV, a close relative of the Severe Acute respiratory syndrome (SARS)-CoV, both of which caused a lethal respiratory infection in humans, reinforces the need for further understanding of coronavirus pathogenesis and the host immune response. These viruses have evolved diverse strategies to evade and block host immune responses, facilitating infection and transmission. Pathogenesis following infection with these viruses is characterized by a marked delay in the induction of Type I interferon (IFN I) and, subsequently, by a poor adaptive immune response. Therapies that expedite IFN I induction as well as interventions that antagonize immunoevasive virus proteins are thus promising candidates for immune modulation.	• MERS-CoV and SARS-CoV have evolved effective immune evasion strategies. Signaling of MAVS results in activation of various kinases, which phosphorylate IRF3, resulting in its dimerization and trafficking to the nucleus for inducing IFN I production. IFN I thus produced will signal through IFNα/β receptor resulting in its phosphorylation by JAK1 and TYK1. This will result in STAT1/STAT2 complex formation, activation and localization into the nucleus using import factors such as karyopherin α1 (Kα1) and karyopherin α2 (Kα2), which will activate various interferon stimulated response elements (ISREs) to bring about an antiviral state. As depicted in the schematic, CoVs have developed strategies to evade/inhibit host innate immune functions, some of which are specific to SARS-CoV [26] (blue) and MERS-CoV (magenta) and some which are shared between the two viruses (red). Nsp1 inhibits phosphorylation of STAT1, promotes host gene mRNA degradation, and also inhibits host mRNA translation. Nsp3 interacts with IRF3, inhibiting its phosphorylation, dimerization and nuclear translocation. Nsp16 renders the virus unrecognizable by cellular sensors MDA5 and RIG-I. N protein inhibits AP1 and NFκB signaling and PKR function. |
4	948aaeb2e0be11ad90562bf10d462531a1f00eac	Integrated, Multi-cohort Analysis Identifies Conserved Transcriptional Signatures across Multiple Respiratory Viruses	Graphical Abstract Highlights d MVS is a common transcriptional host response to respiratory viral infection d MVS could be used in clinics as a diagnostic and/or prognostic biomarker d IMS distinguishes influenza from other viral and bacterial infections d IMS correlates with infection symptomatology and vaccine response	We performed functional pathway analysis via iPathwayGuide (Draghici et al., 2007; Khatri et al., 2008; Tarca et al., 2009) . Meta-effect size across all viral infections was used as fold change in iPathwayGuide to identify significant pathways. We used FDR % 10% as a threshold for identifying significant pathways. We performed network analysis of influenza-specific genes by IPA with an option to include only ''direct relationship'' to avoid spurious connections caused by ''indirect relations.'' Direct relationships in IPA result from publications citing experimental evidence for an interaction. |
5	4ed70c27f14b7f9e6219fe605eae2b21a229f23c	Update on therapeutic options for Middle East Respiratory Syndrome Coronavirus (MERS-CoV)		This paper was not funded.|
6	306ef95a3a91e13a93bcc37fb2c509b67c0b5640	A Novel Approach for a Novel Pathogen: using a home assessment team to evaluate patients for 2019 novel coronavirus (SARS-CoV-2)	Thousands of people in the United States have required testing for SARS-CoV-2. Evaluation for a special pathogen is resource intensive. We report an innovative approach to home assessment that, in collaboration with public health, enables safe evaluation and specimen collection outside the healthcare setting, avoiding unnecessary exposures and resource utilization.	Our hospital has a long history of collaborating closely with Public Health on routinely occurring and emerging infectious disease responses. The use of home assessment teams in the setting of novel infectious disease epidemics demonstrates the value of integrated and coordinated public health and healthcare systems and corresponding benefits to our patients and the public.|
7	ab680d5dbc4f51252da3473109a7885dd6b5eb6f	Evolutionary Medicine IV. Evolution and Emergence of Novel Pathogens		See also: Coalescent and Models of Identity by Descent. Pathogen Epidemiology. Predation and Parasitism. RNA Viruses, Evolution of|
8	6599ebbef3d868afac9daa4f80fa075675cf03bc	International aviation emissions to 2025: Can emissions be stabilised without restricting demand?	International aviation is growing rapidly, resulting in rising aviation greenhouse gas emissions. Concerns about the growth trajectory of the industry and emissions have led to calls for market measures such as emissions trading and carbon levies to be introduced to restrict demand and prompt innovation. This paper provides an overview of the science on aviation's contribution to climate change, analyses key trends in the industry since 1990, projects international civil aviation emissions to 2025 and analyses the emission intensity improvements that are necessary to offset rising international demand. The findings suggest international aviation carbon dioxide (CO 2 ) emissions will increase by more than 110 per cent between 2005 and 2025 (from 416 Mt to between 876 and 1013 Mt) and that it is unlikely emissions could be stabilised at levels consistent with risk averse climate targets without restricting demand.	Stabilising international aviation emissions at levels consistent with risk averse climate targets without restricting demand will be extremely difficult. To prevent emissions from increasing by 160.00 1 9 9 6 1 9 9 8 2 0 0 0 2 0 0 2 2 0 0 4 2 0 0 6 2 0 0 8 2 0 1 0 2 0 1 2 2 0 1 4 2 0 1 6 2 0 1 8 2 0 2 0 2 0 2 2 2 0 2 4 kg CO 2 /100 RTK S1 S2 S3 S4 Fig. 7 . Historic and projected emission intensity improvements 1996-2025. more than 100 per cent between 2005 and 2025, the emission intensity of international aviation would have to fall by 32 per cent, requiring an average annual decrease of 1.9 per cent. To stabilise emissions at 2005 levels, the emission intensity would have to be improved by 65 per cent, necessitating an average annual decrease of 5.2 per cent. With current technology, emission intensity improvements of this magnitude appear unlikely. Further action on international aviation emissions is likely to be necessary if the international community wants to keep the increase in the global average surface temperature to less than 2 1C. Under current policy settings, emissions are likely to increase significantly unless there is a major global economic downturn or other shock to the aviation market.|
9	ad98979eada6e333a276d39efdce21779d538625	Xanthine-based acyclic nucleoside phosphonates with potent antiviral activity against varicella-zoster virus and human cytomegalovirus	While noncanonic xanthine nucleotides XMP/dXMP play an important role in balancing and maintaining intracellular purine nucleotide pool as well as in potential mutagenesis, surprisingly, acyclic nucleoside phosphonates bearing a xanthine nucleobase have not been studied so far for their antiviral properties. Herein, we report the synthesis of a series of xanthine-based acyclic nucleoside phosphonates and evaluation of their activity against a wide range of DNA and RNA viruses. Two acyclic nucleoside phosphonates within the series, namely 9-[2-(phosphonomethoxy)ethyl]xanthine (PMEX) and 9-[3-hydroxy-2-(phosphonomethoxy)propyl]xanthine (HPMPX), were shown to possess activity against several human herpesviruses. The most potent compound was PMEX, a xanthine analogue of adefovir (PMEA). PMEX exhibited a single digit mM activity against VZV (EC 50 ¼ 2.6 mM, TK þ Oka strain) and HCMV (EC 50 ¼ 8.5 mM, Davis strain), while its hexadecyloxypropyl monoester derivative was active against HSV-1 and HSV-2 (EC 50 values between 1.8 and 4.0 mM). In contrast to acyclovir, PMEX remained active against the TK -VZV 07-1 strain with EC 50 ¼ 4.58 mM. PMEX was suggested to act as an inhibitor of viral DNA polymerase and represents the first reported xanthine-based acyclic nucleoside phosphonate with potent antiviral properties.	The inhibitory effects of PMEXpp on human (a and b) and viral (VZV and HCMV) DNA polymerases were determined as previously described using activated calf thymus DNA, 100 mM of each of the three unlabeled dNTPs, and 0.5 mM of the rate limiting tritiumlabeled dNTP, and serial dilutions of PMEXpp (21) . Foscarnet pyrophosphate and acyclovir triphosphate (ACV-TP) were included as the reference compound. The 50% inhibitory concentration or compound concentration required to inhibit the polymerase-catalyzed DNA synthesis by 50% was then determined.|
